id,title,budget_clean,revenue_clean,roi
9767,The Break-Up,52000000,204999686,3.942301654
1934,Shakespeare in Love,25000000,289317794,11.57271176
11386,The Crying Game,3705538,62548947,16.87985577
58244,Upside Down,60000000,8106475,0.135107917
152601,Her,23000000,47351251,2.058750043
10017,The Wraith,2700000,3500000,1.296296296
24739,Miracle Mile,3000000,1145404,0.381801333
69428,Vaali,500000,500000,1
621,Grease,6000000,181813770,30.302295
69423,Kadhal Kottai,500000,500000,1
10996,Stuart Little 2,120000000,169956806,1.416306717
278927,The Jungle Book,175000000,966550600,5.523146286
238603,Earth to Echo,13000000,45300000,3.484615385
1634,Free Willy,20000000,153698625,7.68493125
13766,SpaceCamp,18000000,9697739,0.538763278
73191,The Nutcracker,19000000,2119994,0.111578632
321612,Beauty and the Beast,160000000,1262886337,7.893039606
13764,Santa Claus: The Movie,50000000,23717291,0.47434582
12155,Alice in Wonderland,200000000,1025491110,5.12745555
12445,Harry Potter and the Deathly Hallows: Part 2,125000000,1342000000,10.736
11224,Cinderella,2900000,263591415,90.89359138
14113,Zoom,35000000,12506188,0.357319657
14442,Ella Enchanted,31000000,27388767,0.883508613
36819,Time Bandits,5000000,42365581,8.4731162
6795,Zathura: A Space Adventure,65000000,64321501,0.989561554
241259,Alice Through the Looking Glass,170000000,299370084,1.761000494
16523,Where the Wild Things Are,100000000,100086793,1.00086793
5559,Bee Movie,150000000,287594577,1.91729718
77174,ParaNorman,60000000,107139399,1.78565665
270946,Penguins of Madagascar,132000000,373552094,2.829940106
211672,Minions,74000000,1156730962,15.63149949
9325,The Jungle Book,4000000,205843612,51.460903
14873,The Jungle Book 2,20000000,135680000,6.784
8587,The Lion King,45000000,788241776,17.51648391
82690,Wreck-It Ralph,165000000,471222889,2.855896297
14813,Mickey's Christmas Carol,3000000,21000000,7
153518,The Angry Birds Movie,73000000,349779543,4.791500589
12819,Alpha and Omega,20000000,39300000,1.965
9904,The Wild,80000000,37384046,0.467300575
5123,August Rush,25000000,66122026,2.64488104
24266,The Man from Snowy River,3500000,20659423,5.902692286
227735,Dolphin Tale 2,36000000,52424533,1.456237028
20483,Catch That Kid,18000000,16702864,0.927936889
43959,Soul Surfer,18000000,47088990,2.616055
2976,Hairspray,50000000,90450008,1.80900016
8871,How the Grinch Stole Christmas,123000000,345141403,2.806027667
260514,Cars 3,175000000,350170057,2.000971754
56288,Spy Kids: All the Time in the World,27000000,85564310,3.169048519
116149,Paddington,55000000,259207227,4.712858673
60307,Diary of a Wimpy Kid: Rodrick Rules,21000000,72417394,3.448447333
12139,Dennis the Menace,35000000,117270765,3.350593286
38579,Marmaduke,50000000,83761844,1.67523688
10438,Beethoven's 2nd,15000000,118243066,7.882871067
9279,Jingle All the Way,60000000,129832389,2.16387315
218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,100654149,3.594791036
9093,The Four Feathers,35000000,29882645,0.853789857
20713,Farewell to the King,16000000,2420917,0.151307313
11541,The Year of Living Dangerously,6000000,1317657,0.2196095
11426,From Here to Eternity,1650000,30500000,18.48484848
228150,Fury,68000000,211817906,3.114969206
403390,Bitter Harvest,20000000,557241,0.02786205
3683,Flags of Our Fathers,90000000,65900249,0.732224989
